Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
144,nom,71,255,,,,17.92,2.49,116.8,,203.3e-3,243.9e-3,61.99e-3,25.42
146,nom,72,255,,,,17.93,2.491,116.6,,203.8e-3,244.5e-3,62.06e-3,25.38
148,nom,73,255,,,,17.93,2.492,116.3,,204.3e-3,245.2e-3,62.12e-3,25.34
150,nom,74,255,,,,17.94,2.494,116.1,,204.8e-3,245.8e-3,62.19e-3,25.3
152,nom,75,255,,,,17.94,2.495,115.9,,205.4e-3,246.4e-3,62.25e-3,25.26
154,nom,76,255,,,,17.95,2.497,115.7,,205.9e-3,247.1e-3,62.33e-3,25.23
156,nom,77,255,,,,17.95,2.498,115.5,,206.4e-3,247.7e-3,62.41e-3,25.19
158,nom,78,255,,,,17.96,2.5,115.2,,207e-3,248.4e-3,62.49e-3,25.16
160,nom,79,255,,,,17.96,2.501,115,,207.5e-3,249e-3,62.57e-3,25.13
162,nom,80,255,,,,17.97,2.503,114.8,,208e-3,249.6e-3,62.65e-3,25.1
164,nom,81,255,,,,17.98,2.505,114.6,,208.6e-3,250.3e-3,62.74e-3,25.07
166,nom,82,255,,,,17.98,2.506,114.4,,209.1e-3,250.9e-3,62.82e-3,25.03
168,nom,83,255,,,,17.99,2.508,114.2,,209.7e-3,251.6e-3,62.92e-3,25.01
