Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
230,nom,114,255,,,,17.95,2.496,122.2,,288.7e-3,346.5e-3,62.32e-3,17.99
232,nom,115,255,,,,17.96,2.5,122,,289.5e-3,347.4e-3,62.52e-3,18
234,nom,116,255,,,,17.97,2.504,121.8,,290.3e-3,348.3e-3,62.71e-3,18
236,nom,117,255,,,,17.99,2.508,121.6,,291.1e-3,349.3e-3,62.89e-3,18
238,nom,118,255,,,,18,2.511,121.4,,291.9e-3,350.3e-3,63.07e-3,18.01
240,nom,119,255,,,,18.01,2.515,121.2,,292.7e-3,351.2e-3,63.26e-3,18.01
242,nom,120,255,,,,18.02,2.519,121,,293.5e-3,352.2e-3,63.45e-3,18.02
244,nom,121,255,,,,18.04,2.523,120.8,,294.3e-3,353.2e-3,63.64e-3,18.02
246,nom,122,255,,,,18.05,2.527,120.6,,295.1e-3,354.1e-3,63.84e-3,18.03
248,nom,123,255,,,,18.06,2.531,120.4,,295.9e-3,355.1e-3,64.03e-3,18.03
250,nom,124,255,,,,18.08,2.534,120.2,,296.7e-3,356.1e-3,64.23e-3,18.04
252,nom,125,255,,,,18.09,2.538,120,,297.6e-3,357.1e-3,64.43e-3,18.04
254,nom,126,255,,,,18.1,2.542,119.8,,298.4e-3,358.1e-3,64.61e-3,18.04
256,nom,127,255,,,,18.12,2.546,119.6,,299.2e-3,359.1e-3,64.82e-3,18.05
258,nom,128,255,,,,18.13,2.55,119.4,,300.1e-3,360.1e-3,65.02e-3,18.06
260,nom,129,255,,,,18.14,2.554,119.2,,300.9e-3,361.1e-3,65.23e-3,18.07
262,nom,130,255,,,,18.16,2.558,119,,301.7e-3,362.1e-3,65.44e-3,18.07
264,nom,131,255,,,,18.17,2.562,118.8,,302.6e-3,363.1e-3,65.66e-3,18.08
266,nom,132,255,,,,18.19,2.567,118.6,,303.4e-3,364.1e-3,65.89e-3,18.1
268,nom,133,255,,,,18.2,2.571,118.4,,304.3e-3,365.1e-3,66.11e-3,18.11
270,nom,134,255,,,,18.22,2.576,118.2,,305.1e-3,366.1e-3,66.34e-3,18.12
272,nom,135,255,,,,18.23,2.58,118,,305.9e-3,367.1e-3,66.57e-3,18.13
274,nom,136,255,,,,18.25,2.585,117.8,,306.8e-3,368.2e-3,66.8e-3,18.15
276,nom,137,255,,,,18.26,2.589,117.7,,307.7e-3,369.2e-3,67.02e-3,18.15
278,nom,138,255,,,,18.28,2.593,117.5,,308.5e-3,370.2e-3,67.25e-3,18.17
280,nom,139,255,,,,18.29,2.598,117.3,,309.4e-3,371.3e-3,67.48e-3,18.18
282,nom,140,255,,,,18.31,2.602,117.1,,310.2e-3,372.3e-3,67.7e-3,18.19
284,nom,141,255,,,,18.32,2.608,116.9,,311e-3,373.3e-3,68e-3,18.22
286,nom,142,255,,,,18.34,2.612,116.7,,311.9e-3,374.3e-3,68.24e-3,18.23
288,nom,143,255,,,,18.35,2.616,116.5,,312.9e-3,375.4e-3,68.46e-3,18.24
290,nom,144,255,,,,18.37,2.621,116.3,,313.7e-3,376.4e-3,68.72e-3,18.26
292,nom,145,255,,,,18.39,2.626,116.2,,314.6e-3,377.5e-3,68.97e-3,18.27
294,nom,146,255,,,,18.4,2.631,116,,315.5e-3,378.6e-3,69.2e-3,18.28
296,nom,147,255,,,,18.42,2.635,115.8,,316.4e-3,379.6e-3,69.45e-3,18.29
